pvalue adj_pvalue weight weighted_pvalue group covariate fold symbol bh
0.648164053422499 1 0.035039896309161 1 7 0.844845324393766 3 DPM1 0.989370025246613
0.892967901635956 1 0.000806344882169362 1 5 -0.665682703043036 4 SCYL3 0.997674179649673
0.214001850266901 1 0 1 3 -2.12526691220571 5 C1orf112 0.93070562218395
0.676928412588591 1 0.123483832661895 1 6 0.289329444854364 1 FGR 0.990659513159776
0.611673668392409 1 0.0236697546316383 1 6 0.394649225553233 3 CFH 0.987608825353734
0.322831391498734 1 0 1 3 -2.09067015084483 3 FUCA2 0.959267062086716
0.686549479926925 1 2.50390228823246 0.274191801794139 9 3.43462448930216 4 GCLC 0.991055152681284
0.137056071702673 0.675807210640944 2.50390228823246 0.0547369888780375 9 3.02505911190213 4 NFYA 0.887357874784223
0.378738334842367 1 0.00076094813202694 1 5 -0.607137362893537 1 STPG1 0.967715576283204
0.354010527219825 1 1.4089984869689 0.251249756826487 8 2.38354092719923 3 NIPAL3 0.96431238739686
0.659649606499183 1 1.02356651234892 0.64446188746972 8 1.58591422977144 1 ENPP4 0.989868610580093
0.0270163279074564 1 0.0335296446163978 0.805744534919523 7 1.11170520915755 1 SEMA3F 0.646569654113641
0.156941948543102 1 0 1 2 -3.30802139442462 4 CFTR 0.901974114126939
0.555572506591169 0.915877450079228 6.06238939754064 0.0916424977281318 10 5.53408677346499 4 ANKIB1 0.984160457193516
0.355572133148407 1 0.035039896309161 1 7 1.0073900266707 3 CYP51A1 0.964541857611483
0.0731450722031266 0.486709742103684 2.26078190772632 0.032353882501072 9 3.88755679426739 5 KRIT1 0.809406012541988
0.296563591236263 1 0.035039896309161 1 7 0.582281619217787 3 RAD52 0.954171286449494
0.499310379087886 1 0 1 2 -3.39727122451775 3 BAD 0.97988986503216
0.302755115260652 1 0.248066015036542 1 5 -0.143509034455256 5 LAP3 0.955446440696899
0.714180992144049 1 2.90170645188876 0.246124480193087 9 3.42058535047194 1 HS3ST1 0.992242267090157
0.32670229824215 1 0.000795222972027379 1 5 -0.773024571156836 3 AOC1 0.959934277571265
